subject_id,condition,rt_ms,accuracy,age
1,incongruent,519.480043467691,1,60.0
4,incongruent,508.5401311783959,1,70.0
5,congruent,481.047385910552,1,-999.0
4,Congruent,527.4199865111498,1,25.0
2,congruent,566.8911617609308,0,30.0
1,INCONG,550.9813775933159,1,30.0
1,incongruent,571.1588251711739,0,65.0
1,INCONG,477.6145534632728,0,40.0
3,INCONG,646.9436360929134,0,25.0
4,INCONG,99999,1,70.0
5,incongruent,496.38435722391847,1,-999.0
1,Congruent,526.2448287199352,1,50.0
1,congruent,583.7218366315665,1,
4,Congruent,615.0959736592467,1,55.0
1,incongruent,537.8654929936663,1,60.0
2,congruent,641.2754467440318,1,30.0
3,congruent,436.2107731429026,1,50.0
1,Congruent,448.61273510062387,1,40.0
1,INCONG,544.4880646706613,1,65.0
5,INCONG,688.0513636587268,1,25.0
4,congruent,419.4901842582251,1,
2,congruent,NA,0,65.0
1,INCONG,703.618751646443,1,40.0
2,INCONG,451.46995388313223,0,55.0
3,INCONG,NA,1,-999.0
3,INCONG,570.2627683606927,1,60.0
3,Congruent,426.8514355032333,0,30.0
3,congruent,402.390950834312,1,25.0
5,incongruent,545.180632606351,1,-999.0
2,Congruent,442.253305595494,0,-999.0
5,congruent,503.0350629459017,0,25.0
3,Congruent,492.7468936137802,1,60.0
1,INCONG,462.19853523072715,1,55.0
3,congruent,503.8884902774655,1,55.0
4,INCONG,NA,1,55.0
3,Congruent,457.34809433673837,1,40.0
3,congruent,448.484896980655,1,40.0
4,congruent,529.0401824288255,1,65.0
3,incongruent,683.9711734003249,1,25.0
3,congruent,617.8425220697377,0,25.0
3,congruent,694.391682902971,1,
2,incongruent,432.0916651172357,0,25.0
4,congruent,436.78152727352534,1,35.0
4,congruent,600.085412258635,0,35.0
4,INCONG,NA,0,40.0
3,INCONG,581.4923785726944,1,40.0
5,INCONG,658.1013415696641,1,45.0
5,INCONG,629.0108061411776,1,55.0
5,incongruent,660.5031774180534,1,
2,incongruent,489.0767219016884,1,70.0
2,INCONG,531.6203201818032,1,45.0
3,congruent,NA,1,35.0
4,congruent,482.1678846756591,1,-999.0
2,congruent,510.5447368436067,1,60.0
2,INCONG,598.8072273470474,1,30.0
1,Congruent,458.6221511501459,0,55.0
3,Congruent,555.8797804180527,1,65.0
5,INCONG,517.2789420595235,1,55.0
1,INCONG,660.2143135714629,0,45.0
3,congruent,419.2377968364317,1,50.0
1,incongruent,446.14941263448895,0,30.0
4,INCONG,562.5632888624348,1,-999.0
5,INCONG,99999,1,35.0
3,INCONG,508.6134868388411,1,60.0
1,congruent,591.0852617613705,1,50.0
2,INCONG,671.7978908877287,1,60.0
1,INCONG,683.1012843669281,1,65.0
4,INCONG,99999,1,45.0
4,congruent,407.89276269948584,0,30.0
2,INCONG,585.1101389485519,1,65.0
1,Congruent,99999,1,50.0
4,congruent,469.5664899954787,1,50.0
2,Congruent,603.8011179374605,1,30.0
3,INCONG,550.6757465200694,1,
3,INCONG,584.9408239764055,0,45.0
1,incongruent,351.6515914005227,1,30.0
1,incongruent,547.9355276976073,1,65.0
1,incongruent,438.8959684396616,1,45.0
5,congruent,665.3625862997712,1,35.0
1,incongruent,476.10433118303695,1,70.0
2,congruent,424.94640925483793,0,70.0
2,Congruent,405.9312510068122,1,50.0
1,congruent,473.65755160357196,0,25.0
3,incongruent,409.8128649340972,1,55.0
1,congruent,535.0119300358515,0,45.0
3,congruent,720.9516058517484,1,30.0
2,incongruent,704.244641281425,1,50.0
2,incongruent,452.77766263323207,1,40.0
5,congruent,386.8015746886746,0,35.0
1,Congruent,436.26541531178606,1,
1,INCONG,525.0741012751994,1,70.0
3,incongruent,571.9604325741867,1,55.0
3,Congruent,590.7196819039453,1,70.0
4,incongruent,581.2693919346106,1,35.0
1,Congruent,504.02065264849466,0,45.0
3,congruent,510.849933604049,1,60.0
3,INCONG,NA,1,40.0
2,Congruent,573.2893686958936,1,35.0
5,congruent,413.70682397392414,1,50.0
5,Congruent,454.1918721842294,1,30.0
4,Congruent,535.5606285948679,0,60.0
3,congruent,485.8822088377389,1,-999.0
2,Congruent,494.95212605119417,1,60.0
2,congruent,546.1016532402261,0,60.0
5,Congruent,389.28744853859814,0,60.0
3,congruent,420.4602581932316,1,30.0
5,incongruent,619.0119186362442,0,60.0
1,Congruent,450.6359884180242,1,65.0
1,congruent,427.4106173226212,0,25.0
